Chalinolobus dwyeri
Choeroniscus periosus
Choeronycteris mexicana
Dryadonycteris capixaba
Erophylla bombifrons
Erophylla sezekorni
Glossophaga commissarisi
Glossophaga leachii
Glossophaga longirostris
Glossophaga soricina
Hylonycteris underwoodi
Leptonycteris curasoae
Leptonycteris nivalis
Leptonycteris yerbabuenae
Lichonycteris degener
Lichonycteris obscura
Monophyllus plethodon
Monophyllus redmani
Musonycteris harrisoni
Phyllonycteris aphylla
Phyllonycteris major
Phyllonycteris poeyi
Scleronycteris ega
Glyphonycteris behnii
Glyphonycteris daviesi
Glyphonycteris sylvestris
Neonycteris pusilla
Trinycteris nicefori
Hsunycteris cadenai
Hsunycteris dashe
Hsunycteris pattoni
Hsunycteris thomasi
Lionycteris spurrelli
Lonchophylla bokermanni
Lonchophylla chocoana
Lonchophylla concava
Lonchophylla dekeyseri
Lonchophylla fornicata
Lonchophylla handleyi
Lonchophylla hesperia
Lonchophylla inexpectata
Lonchophylla mordax
Lonchophylla orcesi
Lonchophylla orienticollina
Lonchophylla peracchii
Lonchophylla robusta
Platalina genovensium
Xeronycteris vieirai
Lonchorhina aurita
Lonchorhina fernandezi
Lonchorhina inusitata
Lonchorhina marinkellei
Lonchorhina orinocensis
Macrotus californicus
Macrotus waterhousii
Lampronycteris brachyotis
Micronycteris brosseti
Micronycteris buriri
Micronycteris giovanniae
Micronycteris hirsuta
Micronycteris matses
Micronycteris megalotis
Micronycteris microtis
Micronycteris minuta
Micronycteris sanborni
Micronycteris schmidtorum
Micronycteris yatesi
Chrotopterus auritus
Gardnerycteris crenulata
Gardnerycteris koepckeae
Lophostoma brasiliense
Lophostoma carrikeri
Lophostoma evotis
Lophostoma kalkoae
Lophostoma occidentale
Lophostoma schulzi
Lophostoma silvicola
Macrophyllum macrophyllum
Mimon bennettii
Mimon cozumelae
Phylloderma stenops
Phyllostomus discolor
Phyllostomus elongatus
Phyllostomus hastatus
Phyllostomus latifolius
Tonatia bidens
Tonatia saurophila
Vampyrum spectrum
Rhinophylla alethina
Rhinophylla fischerae
Rhinophylla pumilio
Ametrida centurio
Ardops nichollsi
Ariteus flavescens
Artibeus aequatorialis
Artibeus amplus
Artibeus concolor
Artibeus fimbriatus
Artibeus fraterculus
Artibeus hirsutus
Artibeus inopinatus
Artibeus jamaicensis
Artibeus lituratus
Artibeus obscurus
Artibeus planirostris
Artibeus schwartzi
Centurio senex
Chiroderma doriae
Chiroderma improvisum
Chiroderma salvini
Chiroderma trinitatum
Chiroderma villosum
Chiroderma vizottoi
Dermanura anderseni
Dermanura azteca
Dermanura bogotensis
Dermanura cinerea
Dermanura glauca
Dermanura gnoma
Dermanura phaeotis
Dermanura rava
Dermanura rosenbergi
Dermanura tolteca
Dermanura watsoni
Ectophylla alba
